city,salary_men,salary_women,population
Pléneuf-Val-André,15.0,12.3,3964
Plérin,16.0,12.2,13809
Pleslin-Trigavou,12.9,10.4,3347
Plestin-les-Grèves,14.0,11.6,3400
Pleubian,13.1,10.2,2319
Pleudihen-sur-Rance,14.1,11.7,2715
Pleumeur-Bodou,16.8,12.0,3964
Plouagat,12.4,10.9,2745
Plouaret,12.0,11.4,2085
Ploubalay,12.4,10.8,2965
Ploubazlanec,14.5,11.4,2955
Ploubezre,13.8,11.3,3565
Plouër-sur-Rance,15.9,12.0,3349
Plouézec,13.3,10.3,3187
Ploufragan,13.0,11.0,11046
Plouha,13.4,10.9,4363
Ploumagoar,13.2,10.9,4951
Ploumilliau,12.9,11.1,2377
Plourivo,12.7,10.5,2198
Pluduno,12.6,10.8,2162
Pommeret,12.7,10.9,2032
Pordic,15.1,12.3,6699
Quessoy,12.8,10.7,3717
Quévert,12.9,11.3,3700
Quintin,12.8,11.5,2523
Rostrenen,11.8,11.5,2760
Saint-Agathon,14.8,11.0,2069
Saint-Alban,12.4,10.8,7954
Saint-Brandan,12.4,10.3,2396
Saint-Brieuc,13.1,11.5,43094
Saint-Cast-le-Guildo,14.1,11.1,3303
Saint-Julien,13.6,11.5,7274
Saint-Quay-Portrieux,14.9,12.1,2847
Taden,13.4,11.0,2268
Trébeurden,17.6,12.8,3484
Trégastel,15.3,13.6,2373
Trégueux,13.2,11.5,8091
Tréguier,11.6,9.8,1986
Trélivan,12.5,10.5,2552
Yffiniac,13.2,11.3,4971
Aubusson,10.8,9.6,3578
Bourganeuf,10.7,10.3,2360
Guéret,12.6,11.4,12616
La Souterraine,12.7,11.4,5036
Sainte-Feyre,13.5,12.2,2362
Bergerac,12.4,10.9,26892
Le Bugue,11.4,10.6,2468
Le Buisson-de-Cadouin,11.7,10.6,1916
Champcevinel,15.2,12.8,2763
Chancelade,14.1,11.8,4113
Château-l'Évêque,12.5,11.0,1979
Coulounieix-Chamiers,13.1,11.4,7871
Eymet,11.5,10.4,2543
La Force,13.1,11.4,2373
Lalinde,13.1,11.0,2747
Lamonzie-Saint-Martin,13.0,10.8,2287
Marsac-sur-l'Isle,13.1,11.0,3076
Montignac,13.4,10.3,2916
Montpon-Ménestérol,12.2,10.6,5210
Mussidan,11.9,11.1,2671
Neuvic,11.9,10.3,4531
Nontron,11.4,11.3,2882
Notre-Dame-de-Sanilhac,13.4,12.2,3040
Périgueux,12.9,11.4,28714
Port-Sainte-Foy-et-Ponchapt,12.3,10.7,2255
Prigonrieux,12.8,11.3,3763
Razac-sur-l'Isle,12.4,10.7,2335
Ribérac,12.4,10.9,3619
La Roche-Chalais,12.5,10.6,2821
Saint-Astier,13.4,10.9,5469
Saint-Léon-sur-l'Isle,12.1,10.5,1906
Sarlat-la-Canéda,11.7,10.5,8742
Terrasson-Lavilledieu,12.6,10.8,5913
Thiviers,12.0,10.3,2731
Trélissac,13.9,11.7,6481
Audincourt,12.5,10.6,13731
Avanne-Aveney,15.8,11.7,1973
Baume-les-Dames,13.2,10.8,4891
Bavans,14.8,11.8,3690
Besançon,13.3,11.6,111585
Bethoncourt,12.5,10.5,5655
Charquemont,15.7,11.2,2551
Doubs,15.3,11.0,2501
École-Valentin,14.8,12.4,2350
Étupes,15.0,12.0,3615
Exincourt,13.9,11.5,3079
Fesches-le-Châtel,13.8,10.7,2166
Les Fins,14.0,10.9,2972
Franois,14.9,11.9,2073
Grand-Charmont,13.3,10.9,5350
Hérimoncourt,12.8,11.0,3434
L'Isle-sur-le-Doubs,13.0,10.9,3048
Villers-le-Lac,13.2,10.2,4684
Levier,12.5,10.3,1825
Maîche,12.7,10.2,4084
Mandeure,12.6,10.6,4799
Mathay,14.5,11.6,2172
Miserey-Salines,16.8,12.6,2283
Montbéliard,14.6,11.4,24658
Montferrand-le-Château,15.2,12.3,1853
Morteau,12.8,10.1,6605
Ornans,13.7,11.2,4169
Pirey,17.0,13.1,1960
Pontarlier,12.7,10.6,17061
Roche-lez-Beaupré,14.2,11.5,1960
Le Russey,14.1,9.9,2247
Saint-Vit,13.5,11.1,4706
Saône,15.1,12.0,3131
Seloncourt,14.0,11.6,5689
Sochaux,12.3,10.3,3711
Thise,14.8,12.0,2963
Valdahon,12.7,10.7,4632
Valentigney,13.0,10.9,9862
Vieux-Charmont,14.2,11.2,2690
Voujeaucourt,15.5,11.8,3325
Alixan,15.1,11.7,2374
Allex,14.7,12.1,2381
Anneyron,14.1,11.2,3800
Aouste-sur-Sye,12.9,10.9,2372
Beaumont-lès-Valence,15.4,12.7,3661
Bourg-de-Péage,13.5,11.1,9916
Bourg-lès-Valence,14.0,11.6,19244
Buis-les-Baronnies,12.9,10.4,2056
Chabeuil,15.9,12.0,6759
Châteauneuf-sur-Isère,14.2,11.9,3685
Châteauneuf-du-Rhône,15.1,11.0,2590
Chatuzange-le-Goubet,15.3,12.0,5161
Clérieux,14.0,10.9,1904
Crest,12.9,10.7,7810
Die,12.0,10.5,4230
Dieulefit,13.4,11.0,2798
Donzère,14.5,11.0,5353
Étoile-sur-Rhône,15.3,11.6,5172
Livron-sur-Drôme,13.4,11.1,8810
Loriol-sur-Drôme,13.5,11.2,6204
Malissard,16.8,12.8,3231
Montboucher-sur-Jabron,16.5,11.3,2174
Montélier,18.1,13.6,3871
Montélimar,14.9,11.4,36465
Montmeyran,16.0,12.8,2875
Mours-Saint-Eusèbe,15.9,11.6,2843
Nyons,11.8,10.8,6159
Peyrins,15.7,11.8,2562
Pierrelatte,14.8,11.3,12874
Pont-de-l'Isère,13.9,11.4,3186
Portes-lès-Valence,12.8,10.8,9751
La Roche-de-Glun,15.9,12.0,3088
Romans-sur-Isère,13.3,11.3,32370
Saint-Donat-sur-l'Herbasse,14.0,11.5,3815
Saint-Jean-en-Royans,12.0,10.7,2813
Saint-Marcel-lès-Valence,14.7,11.5,5857
Saint-Paul-Trois-Châteaux,18.5,13.0,8765
Saint-Rambert-d'Albon,13.0,10.7,6058
Saint-Sorlin-en-Valloire,13.2,11.0,2085
Saint-Vallier,12.5,11.1,12353
Tain-l'Hermitage,13.1,11.4,5672
Valence,13.8,11.6,65599
Les Andelys,13.2,11.1,7897
Beaumont-le-Roger,13.1,11.2,2928
Bernay,13.6,11.4,9944
Beuzeville,13.7,11.3,4379
La Bonneville-sur-Iton,13.2,11.7,2231
Le Bosc-Roger-en-Roumois,15.6,12.7,3099
Bourg-Achard,14.7,11.8,3218
Breteuil,11.7,10.7,8536
Brionne,12.8,10.9,4117
Conches-en-Ouche,12.6,11.2,4877
La Couture-Boussey,15.1,12.1,2232
Étrépagny,13.3,11.4,3846
Évreux,13.3,11.6,47429
Ézy-sur-Eure,14.4,11.5,3460
Gaillon,13.7,11.3,6897
Gasny,14.5,12.1,3070
Gisors,13.5,11.7,10844
Gravigny,13.4,11.9,3939
Guichainville,14.2,11.3,2340
Ivry-la-Bataille,14.3,11.6,2643
Léry,15.2,12.1,2301
Louviers,13.9,11.8,17233
Le Neubourg,13.4,11.6,3877
Nonancourt,12.7,10.8,2175
Pacy-sur-Eure,15.7,12.0,4274
Pîtres,13.6,11.9,2358
Pont-Audemer,12.3,10.7,8588
Pont-de-l'Arche,14.9,12.7,4080
Romilly-sur-Andelle,13.7,11.8,3129
Rugles,13.1,10.8,2135
Saint-André-de-l'Eure,12.8,11.1,3722
Le Vaudreuil,17.3,13.5,3455
Saint-Marcel,16.6,12.8,15283
Saint-Ouen-de-Thouberville,15.3,12.8,2292
Saint-Sébastien-de-Morsent,15.1,12.8,4873
Serquigny,12.4,10.3,1975
Verneuil-sur-Avre,13.0,11.6,6210
Vernon,16.1,13.2,24143
Val-de-Reuil,12.5,10.9,12135
Abondant,18.1,13.9,2103
Anet,15.9,12.3,2549
Bonneval,12.9,11.7,4797
Brou,12.0,10.7,3209
Champhol,16.9,13.1,3390
Chartres,15.1,12.6,37216
Châteaudun,12.5,10.5,11937
Châteauneuf-en-Thymerais,12.8,11.1,2536
Cloyes-sur-le-Loir,12.8,11.6,2712
Le Coudray,16.7,13.0,4147
Courville-sur-Eure,13.7,11.6,2590
Dreux,12.7,11.1,30179
Épernon,14.9,13.2,5517
Gallardon,16.0,13.0,3406
Hanches,18.1,14.1,2651
Illiers-Combray,12.9,11.6,3168
Lèves,15.9,13.0,5148
La Loupe,12.1,10.5,3352
Lucé,12.5,11.0,15954
Luisant,16.9,13.2,6628
Maintenon,17.1,13.8,4146
Mainvilliers,13.4,11.9,10411
Nogent-le-Roi,15.1,11.9,3973
Nogent-le-Rotrou,12.6,10.9,9571
Pierres,15.6,13.3,2785
Saint-Georges-sur-Eure,15.1,12.7,2449
Saint-Lubin-des-Joncherets,13.3,11.5,3869
Saint-Prest,21.7,14.7,2005
Saint-Rémy-sur-Avre,13.2,11.1,3760
Senonches,12.6,10.9,2915
Toury,13.7,11.7,2619
Tremblay-les-Villages,14.3,12.3,2286
Vernouillet,13.0,11.4,21380
Audierne,12.6,10.6,3512
Bannalec,12.5,10.5,5497
Bénodet,16.9,12.1,3329
Bohars,16.7,13.7,3061
Bourg-Blanc,13.9,11.3,3235
Brest,13.3,11.4,134216
Briec,11.9,10.4,5359
Camaret-sur-Mer,13.1,9.6,2519
Carantec,19.6,13.5,3105
Carhaix-Plouguer,11.9,10.9,6791
Châteaulin,12.1,10.6,4863
Châteauneuf-du-Faou,11.8,11.0,3575
Cléder,12.4,10.5,3710
Clohars-Carnoët,15.8,11.3,4144
Clohars-Fouesnant,15.3,12.1,2015
Combrit,15.2,12.4,3779
Concarneau,14.1,11.2,18696
Le Conquet,17.2,12.3,2555
Crozon,13.1,10.6,7267
Dirinon,15.3,11.9,2225
Douarnenez,12.8,10.7,13995
Edern,12.9,10.9,2215
Elliant,12.5,11.0,3068
Ergué-Gabéric,14.3,12.2,7713
Le Folgoët,13.8,11.3,3061
La Forêt-Fouesnant,16.7,12.2,3219
Fouesnant,15.7,12.2,9254
Gouesnach,15.4,12.1,2720
Gouesnou,15.2,12.3,5734
Guiclan,11.9,10.3,2380
Guilers,14.4,11.6,7590
Guilvinec,11.9,9.9,2759
Guipavas,14.7,12.1,13717
Guissény,13.1,10.8,1980
Hôpital-Camfrout,15.0,12.2,2195
Kerlouan,12.6,11.4,2194
Lampaul-Guimiliau,13.3,10.9,2083
Lampaul-Plouarzel,14.6,12.0,2143
Landéda,17.1,12.2,3438
Landerneau,13.9,11.6,14703
Landivisiau,13.0,10.9,8700
Lanmeur,12.1,9.9,1908
Lannilis,13.4,10.9,5236
Lanvéoc,12.7,10.1,1809
Lesneven,12.6,10.9,6649
Locmaria-Plouzané,16.6,12.4,4848
Loctudy,16.0,11.2,3866
Logonna-Daoulas,14.9,13.3,2096
Loperhet,15.4,12.4,3466
Melgven,13.3,10.8,3359
Mellac,13.8,11.0,2898
Milizac,14.0,11.4,3450
Moëlan-sur-Mer,14.5,10.9,6794
Morlaix,12.9,11.3,13935
Névez,14.7,11.4,2646
Penmarch,12.7,10.5,5344
Plabennec,13.4,11.3,7970
Pleuven,14.6,11.4,2703
Pleyben,12.2,10.8,3585
Pleyber-Christ,12.4,10.9,2950
Plobannalec-Lesconil,13.6,11.0,3324
Plogonnec,13.1,11.2,2949
Plomelin,13.8,11.9,3926
Plomeur,12.8,10.4,3790
Plomodiern,12.5,10.7,2032
Plonéis,12.8,11.1,2177
Plonéour-Lanvern,12.9,11.0,5795
Plonévez-du-Faou,11.7,10.7,2031
Plouarzel,14.0,11.9,3705
Ploudalmézeau,13.4,11.0,6029
Ploudaniel,13.3,11.3,3590
Plouédern,13.8,11.3,2770
Plouénan,11.6,10.5,2444
Plouescat,12.8,10.5,3304
Plougasnou,13.6,11.3,3045
Plougastel-Daoulas,17.0,12.9,12764
Plougonvelin,17.5,12.8,3893
Plougonven,12.4,10.8,3119
Plouguerneau,13.6,11.3,6304
Plouguin,12.6,10.9,2100
Plouhinec,13.1,10.1,9191
Plouider,13.1,10.9,1902
Plouigneau,13.2,11.1,4789
Plounéventer,12.6,10.8,2116
Plounévez-Lochrist,12.1,10.6,2291
Plourin-lès-Morlaix,13.5,11.1,4138
Plouvien,13.5,11.1,3636
Plouvorn,12.3,10.6,2787
Plouzané,15.0,11.7,11909
Plozévet,12.2,10.3,2964
Pluguffan,13.5,11.1,3827
Pont-Aven,13.2,10.9,2720
Pont-l'Abbé,13.2,11.2,7774
Pouldreuzic,12.4,10.9,1940
Quimper,13.9,11.6,61213
Quimperlé,13.5,11.1,11469
Rédené,13.5,11.1,2788
Le Relecq-Kerhuon,17.0,13.0,11029
Riec-sur-Bélon,13.4,11.1,4019
Roscoff,14.8,11.7,2993
Rosporden,12.3,10.6,7157
Saint-Évarzec,14.1,11.3,3537
Saint-Martin-des-Champs,12.6,11.3,8250
Saint-Pabu,14.2,11.9,2012
Saint-Pol-de-Léon,12.5,10.9,6278
Saint-Renan,14.5,11.4,7672
Saint-Yvi,12.9,11.1,2915
Santec,13.9,12.1,2229
Scaër,11.6,10.1,5167
Sizun,12.9,11.4,2155
Taulé,12.5,11.6,2806
Telgruc-sur-Mer,12.6,10.4,2111
Treffiagat,12.7,11.1,2370
Trégunc,14.4,11.1,6979
Tréméven,13.3,10.9,2577
Pont-de-Buis-lès-Quimerch,12.3,10.7,3727
Afa,14.9,12.3,2887
Ajaccio,13.8,11.9,66971
Alata,14.3,12.4,3000
Bastelicaccia,15.1,11.8,3792
Bonifacio,12.7,10.7,2846
Grosseto-Prugna,16.3,12.2,2867
Porto-Vecchio,12.6,10.8,11465
Propriano,11.7,10.5,3588
Sarrola-Carcopino,12.6,11.0,2171
Sartène,11.0,10.3,3228
Zonza,11.7,10.0,2588
Aléria,11.9,10.7,2058
Bastia,13.7,11.6,42547
Biguglia,14.8,11.3,7769
Borgo,14.2,11.2,7718
Calenzana,12.8,10.4,2279
Calvi,12.3,10.5,4729
Corte,12.1,10.8,6278
Furiani,15.5,11.8,5585
Ghisonaccia,12.7,11.0,3914
L'Île-Rousse,12.8,10.8,3203
Lucciana,13.7,11.3,5135
Penta-di-Casinca,12.4,10.1,3254
Prunelli-di-Fiumorbo,11.2,10.5,3404
San-Martino-di-Lota,16.6,12.8,2731
Santa-Maria-di-Lota,17.1,13.0,1757
Ventiseri,11.9,10.1,2242
Vescovato,11.8,11.5,2531
Ville-di-Pietrabugno,19.1,14.0,3391
Aigues-Mortes,13.8,11.1,8300
Aigues-Vives,15.8,12.6,4585
Aimargues,15.4,11.3,5232
Alès,11.9,10.6,39052
Anduze,11.9,11.1,3170
Les Angles,17.5,13.0,8909
Aramon,16.0,12.3,3915
Aubais,16.0,13.0,2517
Aubord,14.4,12.0,2310
Bagard,13.1,11.0,2466
Bagnols-sur-Cèze,14.7,11.7,17610
Beaucaire,12.6,10.5,15836
Beauvoisin,13.9,11.7,4589
Bellegarde,13.8,10.6,8328
Bernis,13.4,11.3,3124
Bessèges,11.5,9.9,2699
Bezouce,13.0,10.5,2151
Boisset-et-Gaujac,13.0,11.1,2427
Bouillargues,14.6,11.8,6109
Le Cailar,13.8,11.5,2262
Caissargues,15.4,12.2,3962
La Calmette,12.7,10.8,2070
Calvisson,15.5,12.3,5258
Caveirac,15.8,12.1,3942
Clarensac,15.5,12.7,4244
Codognan,15.4,11.9,2425
Fourques,15.0,11.8,3967
Gallargues-le-Montueux,14.5,12.3,3435
Garons,13.7,11.0,4593
Générac,13.8,11.5,4425
La Grand-Combe,10.8,9.7,4892
Le Grau-du-Roi,12.7,10.8,7985
Jonquières-Saint-Vincent,13.0,10.9,3623
Langlade,17.4,13.9,2125
Laudun-l'Ardoise,16.1,12.2,5298
Manduel,13.8,11.1,6427
Marguerittes,13.5,11.2,8407
Meynes,14.4,11.2,2364
Milhaud,12.9,10.9,5605
Montfrin,13.4,11.7,3046
Nîmes,13.5,11.5,145308
Pont-Saint-Esprit,15.0,11.8,10078
Poulx,16.9,13.2,3880
Pujaut,19.7,13.5,4115
Quissac,12.9,11.3,2980
Redessan,13.3,11.3,3903
Remoulins,12.2,10.4,2356
Rochefort-du-Gard,16.4,12.9,7475
Roquemaure,13.9,11.6,5699
Rousson,13.4,11.3,4263
Saint-Ambroix,12.4,10.0,3384
Saint-Christol-lès-Alès,13.2,10.9,6873
Saint-Geniès-de-Malgoirès,12.9,11.3,2913
Saint-Gilles,12.4,10.3,18405
Saint-Hilaire-de-Brethmas,13.0,10.8,4110
Saint-Hippolyte-du-Fort,12.0,10.2,3667
Saint-Jean-du-Gard,11.5,10.1,2537
Saint-Julien-les-Rosiers,13.1,11.0,3273
Saint-Laurent-d'Aigouze,14.1,11.8,3395
Saint-Laurent-des-Arbres,16.5,12.4,2748
Saint-Martin-de-Valgalgues,12.0,10.4,4208
Saint-Privat-des-Vieux,14.0,11.7,4886
Saint-Quentin-la-Poterie,14.8,11.5,2857
Salindres,12.7,11.1,3173
Sommières,14.3,11.3,4503
Uchaud,12.7,11.7,4212
Uzès,13.4,11.1,8143
Vauvert,13.0,11.0,11133
Vergèze,15.3,12.2,4980
Le Vigan,10.6,10.3,5224
Villeneuve-lès-Avignon,21.1,14.8,11332
Rodilhan,13.4,11.6,2805
Ayguesvives,17.8,14.0,2488
Aucamville,14.8,12.2,9105
Aussonne,18.4,13.7,6834
Auterive,14.2,11.3,9563
Auzeville-Tolosane,22.3,15.1,3353
Bagnères-de-Luchon,10.8,9.6,2199
Balma,20.7,14.5,14670
Baziège,15.5,12.3,3008
Beauzelle,18.2,14.0,5950
Bérat,14.5,11.9,2866
Bessières,13.8,11.8,3552
Blagnac,18.8,14.5,22887
Bouloc,18.0,14.0,4511
Brax,24.3,15.7,4604
Bruguières,17.4,12.8,5213
Buzet-sur-Tarn,16.4,12.9,2638
Calmont,14.4,11.4,4005
Caraman,14.9,11.7,2347
Carbonne,14.1,11.4,5272
Castanet-Tolosan,17.1,13.5,12537
Castelginest,15.6,12.3,9557
Castelmaurou,19.3,13.5,3730
Castelnau-d'Estrétefonds,15.3,12.4,5831
Cazères,14.2,10.9,4770
Cintegabelle,13.9,12.1,2787
Colomiers,17.3,13.1,37891
Cornebarrieu,19.3,14.4,6154
Cugnaux,16.6,13.3,16833
Daux,17.9,14.2,2196
Drémil-Lafage,19.3,14.6,2488
Eaunes,16.1,12.0,5770
Escalquens,19.6,14.6,6075
Fenouillet,14.6,12.7,4966
Fonbeauzard,14.0,12.2,2898
Fonsorbes,17.7,13.2,11546
Fontenilles,19.6,14.5,5251
Fronton,15.5,12.2,5618
Frouzins,16.4,13.0,8638
Gagnac-sur-Garonne,16.0,13.4,2826
Gratentour,17.6,13.0,3440
Grenade,15.6,12.5,8269
Labarthe-sur-Lèze,15.9,13.0,5162
Labastidette,15.3,12.3,2329
Labège,17.7,13.6,3883
Lacroix-Falgarde,24.4,16.0,1892
Lagardelle-sur-Lèze,15.8,12.4,2623
Lapeyrouse-Fossat,21.5,14.7,2785
Launaguet,15.3,12.7,7776
Lavernose-Lacasse,16.0,12.4,2845
Léguevin,19.0,13.6,8682
Lespinasse,14.1,12.2,2634
Lherm,16.0,12.2,3685
Longages,14.5,11.5,2840
Martres-Tolosane,13.7,11.5,2146
Merville,17.2,12.8,14633
Miremont,15.1,11.8,2515
Mondonville,17.2,13.3,4505
Montastruc-la-Conseillère,19.2,14.2,3278
Montberon,17.6,13.2,2666
Montesquieu-Volvestre,13.8,11.6,2996
Montgiscard,17.2,13.4,2000
Montrabé,18.5,14.4,3918
Montréjeau,12.3,10.4,2670
Muret,14.7,11.8,23511
Nailloux,15.5,12.5,3268
Noé,14.8,12.0,3339
Pechbonnieu,16.7,13.7,4068
Pibrac,25.2,16.5,7986
Pinsaguel,16.0,12.9,2748
Pins-Justaret,16.3,13.4,4324
Plaisance-du-Touch,18.9,13.8,16967
Pompertuzat,19.1,15.1,2089
Portet-sur-Garonne,15.1,12.6,9224
Quint-Fonsegrives,19.6,14.6,4982
Ramonville-Saint-Agne,16.2,13.8,13646
Revel,13.8,11.5,10509
Rieumes,14.1,11.2,3296
Rieux-Volvestre,14.2,12.8,2420
Roques,15.9,12.7,4437
Roquettes,17.0,13.1,4092
Saint-Alban,14.8,12.2,7954
Sainte-Foy-de-Peyrolières,17.0,12.6,1976
Saint-Gaudens,12.9,10.8,10482
Saint-Geniès-Bellevue,19.5,14.6,2221
Saint-Jean,17.9,13.5,10383
Saint-Jory,14.7,12.0,5406
Saint-Lys,15.8,12.1,8527
Saint-Orens-de-Gameville,18.3,13.5,11224
La Salvetat-Saint-Gilles,17.7,13.8,7420
Saubens,18.8,14.4,2092
Seilh,23.4,16.3,3040
Seysses,15.8,12.7,6963
Toulouse,16.0,13.1,455548
Tournefeuille,21.8,16.2,26464
L'Union,18.3,14.2,11480
Venerque,18.8,14.1,2501
Verfeil,16.4,13.3,3729
Vernet,15.4,12.1,2466
Villefranche-de-Lauragais,15.5,11.9,4183
Villemur-sur-Tarn,13.5,11.0,5623
Villeneuve-Tolosane,16.3,13.0,8857
Auch,12.5,11.5,20724
Condom,11.8,10.5,6442
Eauze,12.3,10.9,3648
Fleurance,11.8,10.2,6026
Gimont,13.6,11.1,2663
L'Isle-Jourdain,16.4,12.6,9256
Lectoure,12.3,10.8,3379
Lombez,12.9,11.4,1928
Mauvezin,15.1,10.9,2175
Mirande,11.8,10.5,3269
Pavie,13.6,11.5,2418
Samatan,14.5,11.6,2180
Vic-Fezensac,12.4,10.4,3308
Ambarès-et-Lagrave,13.5,11.3,14851
Ambès,12.6,10.9,3053
Andernos-les-Bains,17.9,12.3,11619
Arcachon,16.1,12.1,9927
Arès,15.7,11.7,5711
Arsac,16.8,13.2,3249
Artigues-près-Bordeaux,14.7,12.5,7979
Audenge,14.5,11.4,6982
Avensan,13.9,11.2,2747
Le Barp,15.3,12.1,5278
Barsac,13.3,11.7,2113
Bassens,13.0,11.1,10516
Bazas,13.5,11.0,4435
Beautiran,14.8,12.4,2064
Bègles,13.9,12.1,25936
Belin-Béliet,14.3,11.3,4930
Beychac-et-Caillau,14.5,12.3,2086
Biganos,14.2,11.1,9832
Blanquefort,15.7,12.6,15177
Blaye,16.9,11.8,4440
Bordeaux,16.2,13.0,240596
Bouliac,21.3,14.5,3161
Bourg,13.8,10.9,2237
Le Bouscat,18.8,14.1,23085
Bruges,15.7,13.3,17175
Cabanac-et-Villagrains,14.0,11.8,2205
Cadaujac,13.8,11.5,5594
Cadillac,12.6,10.3,2352
Camblanes-et-Meynac,17.5,13.6,2665
Canéjan,16.0,13.2,5197
Carbon-Blanc,14.3,12.1,7088
Carcans,13.9,11.3,2275
Carignan-de-Bordeaux,17.6,13.6,3542
Castelnau-de-Médoc,14.1,11.3,4151
Castillon-la-Bataille,11.4,10.2,2814
Castres-Gironde,15.1,11.6,2042
Cenon,11.9,10.8,23412
Cestas,18.8,14.1,16115
Cézac,13.1,11.1,2611
Coutras,12.8,10.5,8146
Créon,13.2,11.1,4318
Cubzac-les-Ponts,14.1,12.1,2254
Cussac-Fort-Médoc,12.8,10.9,2092
Les Églisottes-et-Chalaures,12.1,10.0,2160
Eysines,14.8,12.4,20956
Fargues-Saint-Hilaire,16.4,12.8,2568
Floirac,13.0,11.5,17130
Gaillan-en-Médoc,12.7,11.0,2071
Galgon,13.8,11.3,2986
Gradignan,16.6,13.1,23149
Gujan-Mestras,15.6,11.8,20224
Le Haillan,17.7,13.1,10424
Hourtin,13.1,11.0,3326
Izon,14.8,12.1,5357
La Brède,19.7,13.7,4049
Lacanau,14.7,12.3,4473
La Lande-de-Fronsac,14.5,12.1,2293
Landiras,13.6,11.8,2207
Langoiran,13.7,11.8,2168
Langon,12.9,11.2,9364
Lanton,16.2,12.2,6612
Laruscade,12.4,11.1,2484
Latresne,20.7,14.4,3264
Lège-Cap-Ferret,17.1,12.3,7921
Léognan,17.8,13.5,9752
Lesparre-Médoc,11.8,10.3,5394
Libourne,13.5,11.7,23753
Listrac-Médoc,14.3,11.1,2565
Lormont,11.8,10.6,20414
Ludon-Médoc,15.7,12.6,4344
Macau,14.3,11.6,3948
Martignas-sur-Jalle,18.6,14.0,6760
Martillac,15.9,12.9,2650
Mérignac,15.8,12.6,69013
Mios,14.8,11.5,8512
Montussan,15.3,12.5,3064
Parempuyre,15.3,12.5,7827
Pauillac,12.8,10.7,4787
Pessac,16.3,13.0,59550
Le Pian-Médoc,17.0,13.3,6212
Pineuilh,12.4,10.9,4081
Podensac,13.4,11.0,2748
Pompignac,17.6,13.8,2785
Le Porge,14.4,11.2,2690
Portets,14.9,11.9,2520
Preignac,13.1,11.0,2095
Pugnac,13.2,11.1,2245
Quinsac,17.4,12.7,2465
La Réole,11.6,9.3,3782
Sadirac,15.2,12.3,3899
Saint-André-de-Cubzac,13.9,11.7,10047
Saint-Aubin-de-Médoc,23.3,15.3,6478
Saint-Caprais-de-Bordeaux,14.5,12.6,2792
Saint-Christoly-de-Blaye,13.3,10.7,1845
Saint-Ciers-sur-Gironde,15.0,11.2,2901
Saint-Denis-de-Pile,12.7,10.7,5082
Sainte-Eulalie,15.3,12.3,5585
Sainte-Foy-la-Grande,12.4,11.5,2134
Saint-Germain-du-Puch,14.3,12.7,2049
Sainte-Hélène,15.2,11.9,4822
Saint-Jean-d'Illac,18.0,13.6,7255
Saint-Laurent-Médoc,12.9,11.3,4466
Saint-Loubès,14.9,12.3,8535
Saint-Louis-de-Montferrand,13.3,11.2,2142
Saint-Macaire,13.1,11.7,1761
Saint-Médard-de-Guizières,12.2,10.0,2354
Saint-Médard-d'Eyrans,15.1,12.3,2745
Saint-Médard-en-Jalles,17.4,13.3,29391
Saint-Quentin-de-Baron,12.9,11.0,2176
Saint-Savin,13.2,10.4,8037
Saint-Selve,16.1,12.7,2558
Saint-Seurin-sur-l'Isle,11.5,9.7,2983
Saint-Sulpice-et-Cameyrac,16.7,12.8,4417
Saint-Yzan-de-Soudiac,12.5,10.8,2220
Salleboeuf,16.2,12.7,2189
Salles,14.7,11.9,7556
Saucats,16.3,12.2,2574
Soulac-sur-Mer,12.1,10.4,2253
Le Taillan-Médoc,17.2,13.5,9743
Talence,14.7,12.7,40352
Le Teich,14.6,11.4,7267
La Teste-de-Buch,14.5,11.2,25496
Toulenne,12.8,10.6,2287
Tresses,15.5,12.5,4337
Vayres,14.9,11.8,4294
Vendays-Montalivet,13.3,10.6,2410
Villenave-d'Ornon,14.3,12.1,30512
Yvrac,16.4,13.1,2747
Marcheprime,14.7,11.7,4351
Agde,12.6,10.5,25605
Aniane,14.5,11.7,2850
Baillargues,17.4,13.0,6744
Balaruc-les-Bains,14.2,11.5,6625
Balaruc-le-Vieux,15.2,12.1,2450
Bédarieux,12.2,10.4,5808
Bessan,12.8,10.4,4607
Béziers,12.5,11.0,73343
Boujan-sur-Libron,15.0,12.1,3091
Canet,14.2,11.3,5050
Capestang,12.8,10.7,2987
Castelnau-le-Lez,17.9,12.9,18462
Castries,17.0,13.1,5910
Caux,13.5,10.6,2339
Cazouls-lès-Béziers,12.7,10.8,4795
Cers,12.9,10.5,2190
Cessenon-sur-Orb,12.6,10.6,2098
Clapiers,18.2,14.0,5167
Clermont-l'Hérault,12.8,11.0,8004
Colombiers,14.2,11.0,4681
Cournonsec,14.6,12.5,3009
Cournonterral,14.1,11.9,5725
Le Crès,16.6,13.0,8774
Fabrègues,14.4,12.4,6343
Florensac,12.5,10.2,4760
Frontignan,13.1,11.1,22448
Ganges,11.5,10.3,3634
Gigean,13.4,11.6,6068
Gignac,13.6,11.4,6566
Grabels,14.8,12.8,7496
Jacou,15.8,13.1,6690
Juvignac,16.2,13.0,8598
Lamalou-les-Bains,13.2,12.6,2102
Lansargues,15.7,12.2,3063
Lattes,17.1,13.6,15789
Lavérune,14.7,12.2,2808
Lespignan,13.2,10.6,3135
Lignan-sur-Orb,15.1,11.7,2883
